Title,URL
Skip to content,#container
ggplot2,../index.html
Get started,../articles/ggplot2.html
Reference,../reference/index.html
News,#
Version 3.5.0,https://www.tidyverse.org/blog/2024/02/ggplot2-3-5-0/
Version 3.4.0,https://www.tidyverse.org/blog/2022/11/ggplot2-3-4-0/
Version 3.3.0,https://www.tidyverse.org/blog/2020/03/ggplot2-3-3-0/
Version 3.2.0,https://www.tidyverse.org/articles/2019/06/ggplot2-3-2-0/
Version 3.1.0,https://www.tidyverse.org/articles/2018/10/ggplot2-3-1-0/
Version 3.0.0,https://www.tidyverse.org/articles/2018/07/ggplot2-3-0-0/
Version 2.2.0,https://posit.co/blog/ggplot2-2-2-0/
Version 2.1.0,https://posit.co/blog/ggplot2-2-1-0/
Version 2.0.0,https://posit.co/blog/ggplot2-2-0-0/
Version 1.0.0,https://posit.co/blog/ggplot2-updates/
Changelog,../news/index.html
Articles,#
Aesthetic specifications,../articles/ggplot2-specs.html
Extending ggplot2,../articles/extending-ggplot2.html
Using ggplot2 in packages,../articles/ggplot2-in-packages.html
Profiling Performance,../articles/profiling.html
FAQ: Axes,../articles/faq-axes.html
FAQ: Faceting,../articles/faq-faceting.html
FAQ: Customising,../articles/faq-customising.html
FAQ: Annotation,../articles/faq-annotation.html
FAQ: Reordering,../articles/faq-reordering.html
FAQ: Barplots,../articles/faq-bars.html
Extensions,https://exts.ggplot2.tidyverse.org/gallery/
,https://github.com/tidyverse/ggplot2/
,#plot-basics
ggplot(),../reference/ggplot.html
aes(),../reference/aes.html
ggsave(),../reference/ggsave.html
ggplot(),ggplot.html
aes(),aes.html
`+`(<gg>),gg-add.html
`%+%`,gg-add.html
ggsave(),ggsave.html
qplot(),qplot.html
quickplot(),qplot.html
,#layers
,#geoms
layer_geoms,layer_geoms.html
,geom_abline.html
geom_abline(),geom_abline.html
geom_hline(),geom_abline.html
geom_vline(),geom_abline.html
,geom_bar.html
geom_bar(),geom_bar.html
geom_col(),geom_bar.html
stat_count(),geom_bar.html
,geom_bin_2d.html
geom_bin_2d(),geom_bin_2d.html
stat_bin_2d(),geom_bin_2d.html
,geom_blank.html
geom_blank(),geom_blank.html
,geom_boxplot.html
geom_boxplot(),geom_boxplot.html
stat_boxplot(),geom_boxplot.html
,geom_contour.html
geom_contour(),geom_contour.html
geom_contour_filled(),geom_contour.html
stat_contour(),geom_contour.html
stat_contour_filled(),geom_contour.html
,geom_count.html
geom_count(),geom_count.html
stat_sum(),geom_count.html
,geom_density.html
geom_density(),geom_density.html
stat_density(),geom_density.html
geom_density_2d(),geom_density_2d.html
geom_density_2d_filled(),geom_density_2d.html
stat_density_2d(),geom_density_2d.html
stat_density_2d_filled(),geom_density_2d.html
,geom_dotplot.html
geom_dotplot(),geom_dotplot.html
geom_errorbarh(),geom_errorbarh.html
geom_function(),geom_function.html
stat_function(),geom_function.html
,geom_hex.html
geom_hex(),geom_hex.html
stat_bin_hex(),geom_hex.html
,geom_histogram.html
geom_freqpoly(),geom_histogram.html
geom_histogram(),geom_histogram.html
stat_bin(),geom_histogram.html
,geom_jitter.html
geom_jitter(),geom_jitter.html
,geom_linerange.html
geom_crossbar(),geom_linerange.html
geom_errorbar(),geom_linerange.html
geom_linerange(),geom_linerange.html
geom_pointrange(),geom_linerange.html
,geom_map.html
geom_map(),geom_map.html
,geom_path.html
geom_path(),geom_path.html
geom_line(),geom_path.html
geom_step(),geom_path.html
,geom_point.html
geom_point(),geom_point.html
,geom_polygon.html
geom_polygon(),geom_polygon.html
geom_qq_line(),geom_qq.html
stat_qq_line(),geom_qq.html
geom_qq(),geom_qq.html
stat_qq(),geom_qq.html
,geom_quantile.html
geom_quantile(),geom_quantile.html
stat_quantile(),geom_quantile.html
,geom_ribbon.html
geom_ribbon(),geom_ribbon.html
geom_area(),geom_ribbon.html
stat_align(),geom_ribbon.html
,geom_rug.html
geom_rug(),geom_rug.html
,geom_segment.html
geom_segment(),geom_segment.html
geom_curve(),geom_segment.html
,geom_smooth.html
geom_smooth(),geom_smooth.html
stat_smooth(),geom_smooth.html
,geom_spoke.html
geom_spoke(),geom_spoke.html
,geom_text.html
geom_label(),geom_text.html
geom_text(),geom_text.html
,geom_tile.html
geom_raster(),geom_tile.html
geom_rect(),geom_tile.html
geom_tile(),geom_tile.html
,geom_violin.html
geom_violin(),geom_violin.html
stat_ydensity(),geom_violin.html
,ggsf.html
coord_sf(),ggsf.html
geom_sf(),ggsf.html
geom_sf_label(),ggsf.html
geom_sf_text(),ggsf.html
stat_sf(),ggsf.html
,#stats
after_stat(),../reference/aes_eval.html
layer_stats,layer_stats.html
stat_ecdf(),stat_ecdf.html
stat_ellipse(),stat_ellipse.html
geom_function(),geom_function.html
stat_function(),geom_function.html
stat_identity(),stat_identity.html
stat_summary_2d(),stat_summary_2d.html
stat_summary_hex(),stat_summary_2d.html
stat_summary_bin(),stat_summary.html
stat_summary(),stat_summary.html
stat_unique(),stat_unique.html
stat_sf_coordinates(),stat_sf_coordinates.html
after_stat(),aes_eval.html
after_scale(),aes_eval.html
stage(),aes_eval.html
,#position-adjustment
layer_positions,layer_positions.html
,position_dodge.html
position_dodge(),position_dodge.html
position_dodge2(),position_dodge.html
,position_identity.html
position_identity(),position_identity.html
,position_jitter.html
position_jitter(),position_jitter.html
position_jitterdodge(),position_jitterdodge.html
position_nudge(),position_nudge.html
,position_stack.html
position_stack(),position_stack.html
position_fill(),position_stack.html
,#annotations
,geom_abline.html
geom_abline(),geom_abline.html
geom_hline(),geom_abline.html
geom_vline(),geom_abline.html
annotate(),annotate.html
annotation_custom(),annotation_custom.html
annotation_logticks(),annotation_logticks.html
annotation_map(),annotation_map.html
annotation_raster(),annotation_raster.html
borders(),borders.html
,#aesthetics
aes_colour_fill_alpha,aes_colour_fill_alpha.html
colour,aes_colour_fill_alpha.html
color,aes_colour_fill_alpha.html
fill,aes_colour_fill_alpha.html
aes_group_order,aes_group_order.html
group,aes_group_order.html
aes_linetype_size_shape,aes_linetype_size_shape.html
linetype,aes_linetype_size_shape.html
size,aes_linetype_size_shape.html
shape,aes_linetype_size_shape.html
aes_position,aes_position.html
x,aes_position.html
y,aes_position.html
xmin,aes_position.html
xmax,aes_position.html
ymin,aes_position.html
ymax,aes_position.html
xend,aes_position.html
yend,aes_position.html
,#scales
labs(),../reference/labs.html
lims(),../reference/lims.html
labs(),labs.html
xlab(),labs.html
ylab(),labs.html
ggtitle(),labs.html
lims(),lims.html
xlim(),lims.html
ylim(),lims.html
expand_limits(),expand_limits.html
expansion(),expansion.html
expand_scale(),expansion.html
,scale_alpha.html
scale_alpha(),scale_alpha.html
scale_alpha_continuous(),scale_alpha.html
scale_alpha_binned(),scale_alpha.html
scale_alpha_discrete(),scale_alpha.html
scale_alpha_ordinal(),scale_alpha.html
scale_x_binned(),scale_binned.html
scale_y_binned(),scale_binned.html
,scale_brewer.html
scale_colour_brewer(),scale_brewer.html
scale_fill_brewer(),scale_brewer.html
scale_colour_distiller(),scale_brewer.html
scale_fill_distiller(),scale_brewer.html
scale_colour_fermenter(),scale_brewer.html
scale_fill_fermenter(),scale_brewer.html
,scale_colour_continuous.html
scale_colour_continuous(),scale_colour_continuous.html
scale_fill_continuous(),scale_colour_continuous.html
scale_colour_binned(),scale_colour_continuous.html
scale_fill_binned(),scale_colour_continuous.html
scale_colour_discrete(),scale_colour_discrete.html
scale_fill_discrete(),scale_colour_discrete.html
scale_x_continuous(),scale_continuous.html
scale_y_continuous(),scale_continuous.html
scale_x_log10(),scale_continuous.html
scale_y_log10(),scale_continuous.html
scale_x_reverse(),scale_continuous.html
scale_y_reverse(),scale_continuous.html
scale_x_sqrt(),scale_continuous.html
scale_y_sqrt(),scale_continuous.html
,scale_date.html
scale_x_date(),scale_date.html
scale_y_date(),scale_date.html
scale_x_datetime(),scale_date.html
scale_y_datetime(),scale_date.html
scale_x_time(),scale_date.html
scale_y_time(),scale_date.html
scale_x_discrete(),scale_discrete.html
scale_y_discrete(),scale_discrete.html
,scale_gradient.html
scale_colour_gradient(),scale_gradient.html
scale_fill_gradient(),scale_gradient.html
scale_colour_gradient2(),scale_gradient.html
scale_fill_gradient2(),scale_gradient.html
scale_colour_gradientn(),scale_gradient.html
scale_fill_gradientn(),scale_gradient.html
,scale_grey.html
scale_colour_grey(),scale_grey.html
scale_fill_grey(),scale_grey.html
,scale_hue.html
scale_colour_hue(),scale_hue.html
scale_fill_hue(),scale_hue.html
scale_colour_identity(),scale_identity.html
scale_fill_identity(),scale_identity.html
scale_shape_identity(),scale_identity.html
scale_linetype_identity(),scale_identity.html
scale_linewidth_identity(),scale_identity.html
scale_alpha_identity(),scale_identity.html
scale_size_identity(),scale_identity.html
scale_discrete_identity(),scale_identity.html
scale_continuous_identity(),scale_identity.html
,scale_linetype.html
scale_linetype(),scale_linetype.html
scale_linetype_binned(),scale_linetype.html
scale_linetype_continuous(),scale_linetype.html
scale_linetype_discrete(),scale_linetype.html
scale_linewidth(),scale_linewidth.html
scale_linewidth_binned(),scale_linewidth.html
,scale_manual.html
scale_colour_manual(),scale_manual.html
scale_fill_manual(),scale_manual.html
scale_size_manual(),scale_manual.html
scale_shape_manual(),scale_manual.html
scale_linetype_manual(),scale_manual.html
scale_linewidth_manual(),scale_manual.html
scale_alpha_manual(),scale_manual.html
scale_discrete_manual(),scale_manual.html
,scale_shape.html
scale_shape(),scale_shape.html
scale_shape_binned(),scale_shape.html
,scale_size.html
scale_size(),scale_size.html
scale_radius(),scale_size.html
scale_size_binned(),scale_size.html
scale_size_area(),scale_size.html
scale_size_binned_area(),scale_size.html
scale_colour_steps(),scale_steps.html
scale_colour_steps2(),scale_steps.html
scale_colour_stepsn(),scale_steps.html
scale_fill_steps(),scale_steps.html
scale_fill_steps2(),scale_steps.html
scale_fill_stepsn(),scale_steps.html
,scale_viridis.html
scale_colour_viridis_d(),scale_viridis.html
scale_fill_viridis_d(),scale_viridis.html
scale_colour_viridis_c(),scale_viridis.html
scale_fill_viridis_c(),scale_viridis.html
scale_colour_viridis_b(),scale_viridis.html
scale_fill_viridis_b(),scale_viridis.html
get_alt_text(),get_alt_text.html
,#guides-axes-and-legends
guides(),../reference/guides.html
draw_key_point(),draw_key.html
draw_key_abline(),draw_key.html
draw_key_rect(),draw_key.html
draw_key_polygon(),draw_key.html
draw_key_blank(),draw_key.html
draw_key_boxplot(),draw_key.html
draw_key_crossbar(),draw_key.html
draw_key_path(),draw_key.html
draw_key_vpath(),draw_key.html
draw_key_dotplot(),draw_key.html
draw_key_linerange(),draw_key.html
draw_key_pointrange(),draw_key.html
draw_key_smooth(),draw_key.html
draw_key_text(),draw_key.html
draw_key_label(),draw_key.html
draw_key_vline(),draw_key.html
draw_key_timeseries(),draw_key.html
guide_colourbar(),guide_colourbar.html
guide_colorbar(),guide_colourbar.html
guide_legend(),guide_legend.html
guide_axis(),guide_axis.html
guide_axis_logticks(),guide_axis_logticks.html
guide_axis_stack(),guide_axis_stack.html
guide_axis_theta(),guide_axis_theta.html
guide_bins(),guide_bins.html
guide_coloursteps(),guide_coloursteps.html
guide_colorsteps(),guide_coloursteps.html
guide_custom(),guide_custom.html
guide_none(),guide_none.html
guides(),guides.html
sec_axis(),sec_axis.html
dup_axis(),sec_axis.html
derive(),sec_axis.html
,#facetting
,facet_grid.html
facet_grid(),facet_grid.html
,facet_wrap.html
facet_wrap(),facet_wrap.html
vars(),vars.html
,#labels
labeller(),labeller.html
label_value(),labellers.html
label_both(),labellers.html
label_context(),labellers.html
label_parsed(),labellers.html
label_wrap_gen(),labellers.html
label_bquote(),label_bquote.html
,#coordinate-systems
coord_cartesian(),../reference/coord_cartesian.html
coord_map(),../reference/coord_map.html
coord_fixed(),../reference/coord_fixed.html
coord_flip(),../reference/coord_flip.html
coord_trans(),../reference/coord_trans.html
